title,firstname,middlename,lastname,name_suffix,nickname,party,state,district,in_office,gender,votesmart_id,fec_id,govtrack_id,crp_id,twitter_id,congresspedia_url,youtube_url,facebook_id,official_rss,senate_class,birthdate,oc_email,Alabama,AL,,,legal_name,last_name,first_name,tags,flip_background,flop_background
Rep,Mark,E.,Amodei,,,R,NV,2,1,M,12537,H2NV02395,412500,N00031177,MarkAmodeiNV2,http://www.opencongress.org/wiki/Mark_Amodei,http://youtube.com/markamodeinv2,3.07228E+14,,,6/12/1958,Rep.Amodei@opencongress.org,Maine,ME,,,Mark E. Amodei,Amodei,Mark E.,"Republican Party, Nevada, US Representative",mark e._amodei_red.png,mark e._amodei_blue.png
Rep,Alma,,Adams,,,D,NC,12,1,F,,H4NC12100,412607,N00035451,RepAdams,,,CongresswomanAdams,,,5/27/1946,Rep.Adams@opencongress.org,Maryland,MD,,,Alma  Adams,Adams,Alma ,"Democratic Party, North Carolina, US Representative",alma _adams_red.png,alma _adams_blue.png
Rep,Pete,,Aguilar,,,D,CA,31,1,M,,H2CA31125,412615,N00033997,reppeteaguilar,,,reppeteaguilar,,,6/19/1979,Rep.Aguilar@opencongress.org,Massachusetts,MA,,,Pete  Aguilar,Aguilar,Pete ,"Democratic Party, California, US Representative",pete _aguilar_red.png,pete _aguilar_blue.png
Rep,Rick,,Allen,,,R,GA,12,1,M,,H2GA12121,412625,N00033720,reprickallen,,,CongressmanRickAllen,,,11/7/1951,Rep.Allen@opencongress.org,Michigan,MI,,,Rick  Allen,Allen,Rick ,"Republican Party, Georgia, US Representative",rick _allen_red.png,rick _allen_blue.png
Rep,Ralph,,Abraham,,,R,LA,5,1,M,,H4LA05221,412630,N00036633,RepAbraham,,,CongressmanRalphAbraham,,,9/16/1954,Rep.Abraham@opencongress.org,Minnesota,MN,,,Ralph  Abraham,Abraham,Ralph ,"Republican Party, Louisiana, US Representative",ralph _abraham_red.png,ralph _abraham_blue.png
Rep,Jodey,,Arrington,,,R,TX,19,1,M,,,412726,,,,,,,,,,Mississippi,MS,,,Jodey  Arrington,Arrington,Jodey ,"Republican Party, Texas, US Representative",jodey _arrington_red.png,jodey _arrington_blue.png
Rep,Spencer,Thomas,Bachus,III,,R,AL,6,0,M,26715,H2AL06035,400010,N00008091,BachusAL06,http://www.opencongress.org/wiki/Spencer_Bachus,http://youtube.com/congressmanbachus,6769692966,,,12/28/1947,,Missouri,MO,,,Spencer Thomas Bachus,Bachus,Spencer Thomas,"Republican Party, Alabama, US Representative",spencer thomas_bachus_red.png,spencer thomas_bachus_blue.png
Rep,Richard,Hugh,Baker,,,R,LA,6,0,M,26882,H6LA06083,400012,N00005407,,http://www.opencongress.org/wiki/Richard_Baker,,,,,5/22/1948,,Montana,MT,,,Richard Hugh Baker,Baker,Richard Hugh,"Republican Party, Louisiana, US Representative",richard hugh_baker_red.png,richard hugh_baker_blue.png
Rep,Roscoe,G.,Bartlett,,,R,MD,6,0,M,26891,H2MD06054,400017,N00002017,,http://www.opencongress.org/wiki/Roscoe_Bartlett,http://youtube.com/RepRoscoeBartlett,roscoebartlett,,,6/3/1926,,Nebraska,NE,,,Roscoe G. Bartlett,Bartlett,Roscoe G.,"Republican Party, Maryland, US Representative",roscoe g._bartlett_red.png,roscoe g._bartlett_blue.png
Rep,Joe,Linus,Barton,,,R,TX,6,1,M,27082,H4TX06117,400018,N00005656,RepJoeBarton,http://www.opencongress.org/wiki/Joe_Barton,http://youtube.com/repjoebarton,15617630596,,,9/15/1949,Rep.Joebarton@opencongress.org,Nevada,NV,,,Joe Linus Barton,Barton,Joe Linus,"Republican Party, Texas, US Representative",joe linus_barton_red.png,joe linus_barton_blue.png
Rep,Charles,F.,Bass,,Charlie,R,NH,2,0,M,22216,H0NH02017,400019,N00000423,RepCharlesBass,http://www.opencongress.org/wiki/Charlie_Bass,http://youtube.com/RepCharlesBass,1.2097E+14,,,1/8/1952,,New Hampshire,NH,,,Charles F. Bass,Bass,Charles F.,"Republican Party, New Hampshire, US Representative",charles f._bass_red.png,charles f._bass_blue.png
Sen,Max,S.,Baucus,,,D,MT,Senior Seat,0,M,53315,S8MT00010,300005,N00004643,,http://www.opencongress.org/wiki/Max_Baucus,http://youtube.com/SenatorBaucus,,,II,12/11/1941,,New Jersey,NJ,,,Max S. Baucus,Baucus,Max S.,"Democratic Party, Montana, Senator",max s._baucus_red.png,max s._baucus_blue.png
Rep,Xavier,,Becerra,,,D,CA,34,1,M,26754,H2CA30143,400021,N00009774,RepBecerra,http://www.opencongress.org/wiki/Xavier_Becerra,http://youtube.com/XavierBecerra,90311772229,,,1/26/1958,Rep.Becerra@opencongress.org,New Mexico,NM,,,Xavier  Becerra,Becerra,Xavier ,"Democratic Party, California, US Representative",xavier _becerra_red.png,xavier _becerra_blue.png
Sen,Robert,F.,Bennett,,,R,UT,Junior Seat,0,M,53351,S2UT00104,300007,N00006347,,http://www.opencongress.org/wiki/Robert_Bennett,http://youtube.com/SenatorBennett,,,III,9/18/1933,,New York,NY,,,Robert F. Bennett,Bennett,Robert F.,"Republican Party, Utah, Senator",robert f._bennett_red.png,robert f._bennett_blue.png
Rep,Howard,L.,Berman,,,D,CA,28,0,M,26756,H2CA26026,400025,N00008094,RepHowardBerman,http://www.opencongress.org/wiki/Howard_Berman,http://youtube.com/RepHowardBerman,RepHowardBerman,,,4/15/1941,,North Carolina,NC,,,Howard L. Berman,Berman,Howard L.,"Democratic Party, California, US Representative",howard l._berman_red.png,howard l._berman_blue.png
Rep,Robert,Marion,Berry,,Marion,D,AR,1,0,M,430,H6AR01072,400026,N00005455,,http://www.opencongress.org/wiki/Robert_Marion_Berry,http://youtube.com/CongressmanBerry,,,,8/27/1942,,North Dakota,ND,,,Robert Marion Berry,Berry,Robert Marion,"Democratic Party, Arkansas, US Representative",robert marion_berry_red.png,robert marion_berry_blue.png
Sen,Joseph,R.,Biden,Jr.,,D,DE,Senior Seat,0,M,53279,S8DE00012,300008,N00001669,joebiden,http://www.opencongress.org/wiki/Joseph_Biden,,,,II,11/20/1942,,Ohio,OH,,,Joseph R. Biden,Biden,Joseph R.,"Democratic Party, Delaware, Senator",joseph r._biden_red.png,joseph r._biden_blue.png
Rep,Brian,P.,Bilbray,,,R,CA,50,0,M,21916,H4CA49032,400570,N00006981,BilbrayCA50,http://www.opencongress.org/wiki/Brian_Bilbray,http://youtube.com/CongressmanBilbray,CongressmanBilbray,,,1/28/1951,,Oklahoma,OK,,,Brian P. Bilbray,Bilbray,Brian P.,"Republican Party, California, US Representative",brian p._bilbray_red.png,brian p._bilbray_blue.png
Sen,Jeff,,Bingaman,,,D,NM,Senior Seat,0,M,53326,S2NM00021,300009,N00006518,,http://www.opencongress.org/wiki/Jeff_Bingaman,http://youtube.com/SenJeffBingaman,jeffbingaman,,I,10/3/1943,,Oregon,OR,,,Jeff  Bingaman,Bingaman,Jeff ,"Democratic Party, New Mexico, Senator",jeff _bingaman_red.png,jeff _bingaman_blue.png
Rep,Sanford,D.,Bishop,Jr.,,D,GA,2,1,M,26817,H2GA02031,400030,N00002674,SanfordBishop,http://www.opencongress.org/wiki/Sanford_Bishop,http://youtube.com/RepSanfordBishop,3.6674E+11,,,2/4/1947,Rep.Bishop@opencongress.org,Pennsylvania,PA,,,Sanford D. Bishop,Bishop,Sanford D.,"Democratic Party, Georgia, US Representative",sanford d._bishop_red.png,sanford d._bishop_blue.png
Rep,Earl,,Blumenauer,,,D,OR,3,1,M,367,H6OR03064,400033,N00007727,BlumenauerMedia,http://www.opencongress.org/wiki/Earl_Blumenauer,http://youtube.com/RepBlumenauer,,,,8/16/1948,Rep.Blumenauer@opencongress.org,Rhode Island,RI,,,Earl  Blumenauer,Blumenauer,Earl ,"Democratic Party, Oregon, US Representative",earl _blumenauer_red.png,earl _blumenauer_blue.png
Sen,Roy,,Blunt,,,R,MO,Junior Seat,1,M,418,H6MO07128,400034,N00005195,RoyBlunt,http://www.opencongress.org/wiki/Roy_Blunt,http://youtube.com/SenatorBlunt,1.42473E+14,,III,1/10/1950,Sen.Blunt@opencongress.org,South Carolina,SC,,,Roy  Blunt,Blunt,Roy ,"Republican Party, Missouri, Senator",roy _blunt_red.png,roy _blunt_blue.png
Rep,John,A.,Boehner,,,R,OH,8,0,M,27015,H0OH08029,400036,N00003675,SpeakerBoehner,http://www.opencongress.org/wiki/John_Boehner,http://youtube.com/johnboehner,1.75083E+14,,,11/17/1949,,South Dakota,SD,,,John A. Boehner,Boehner,John A.,"Republican Party, Ohio, US Representative",john a._boehner_red.png,john a._boehner_blue.png
Sen,Christopher,S.,Bond,,Kit,R,MO,Senior Seat,0,M,53313,S6MO00289,300010,N00005178,,http://www.opencongress.org/wiki/Christopher_Bond,http://youtube.com/CSBondMO,,,III,3/6/1939,,Tennessee,TN,,,Christopher S. Bond,Bond,Christopher S.,"Republican Party, Missouri, Senator",christopher s._bond_red.png,christopher s._bond_blue.png
Rep,Leonard,L.,Boswell,,,D,IA,3,0,M,384,H6IA03144,400042,N00004208,LeonardBoswell,http://www.opencongress.org/wiki/Leonard_Boswell,http://youtube.com/RepLeonardBoswell,leonard.boswell,,,1/10/1934,,Texas,TX,,,Leonard L. Boswell,Boswell,Leonard L.,"Democratic Party, Iowa, US Representative",leonard l._boswell_red.png,leonard l._boswell_blue.png
Rep,Frederick,C.,Boucher,,Rick,D,VA,9,0,M,27119,H2VA09010,400043,N00002171,,http://www.opencongress.org/wiki/Frederick_Boucher,,,,,8/1/1946,,Utah,UT,,,Frederick C. Boucher,Boucher,Frederick C.,"Democratic Party, Virginia, US Representative",frederick c._boucher_red.png,frederick c._boucher_blue.png
Sen,Barbara,,Boxer,,,D,CA,Junior Seat,0,F,53274,S2CA00286,300011,N00006692,SenatorBoxer,http://www.opencongress.org/wiki/Barbara_Boxer,http://youtube.com/SenatorBoxer,1.16513E+14,,III,11/11/1940,,Vermont,VT,,,Barbara  Boxer,Boxer,Barbara ,"Democratic Party, California, Senator",barbara _boxer_red.png,barbara _boxer_blue.png
Rep,Allen,,Boyd,Jr.,,D,FL,2,0,M,729,H6FL00046,400044,N00002743,,http://www.opencongress.org/wiki/Allen_Boyd,,,,,6/6/1945,,Virginia,VA,,,Allen  Boyd,Boyd,Allen ,"Democratic Party, Florida, US Representative",allen _boyd_red.png,allen _boyd_blue.png
Rep,Kevin,P.,Brady,,,R,TX,8,1,M,361,H6TX08100,400046,N00005883,RepKevinBrady,http://www.opencongress.org/wiki/Kevin_Brady,http://youtube.com/KBrady8,9307301412,,,4/11/1955,Rep.Kevinbrady@opencongress.org,Washington,WA,,,Kevin P. Brady,Brady,Kevin P.,"Republican Party, Texas, US Representative",kevin p._brady_red.png,kevin p._brady_blue.png
Rep,Corrine,,Brown,,,D,FL,5,0,F,26797,H2FL03056,400048,N00002713,RepCorrineBrown,http://www.opencongress.org/wiki/Corrine_Brown,http://youtube.com/CongresswomanBrown,1.79121E+14,,,11/11/1946,,West Virginia,WV,,,Corrine  Brown,Brown,Corrine ,"Democratic Party, Florida, US Representative",corrine _brown_red.png,corrine _brown_blue.png
Sen,Sherrod,,Brown,,,D,OH,Senior Seat,1,M,27018,H2OH13033,400050,N00003535,SenSherrodBrown,http://www.opencongress.org/wiki/Sherrod_Brown,http://youtube.com/SherrodBrownOhio,,,I,11/9/1952,Sen.Brown@opencongress.org,Wisconsin,WI,,,Sherrod  Brown,Brown,Sherrod ,"Democratic Party, Ohio, Senator",sherrod _brown_red.png,sherrod _brown_blue.png
Sen,Samuel,D.,Brownback,,Sam,R,KS,Senior Seat,0,M,21952,S6KS00122,300013,N00005244,SenSamBrownback,http://www.opencongress.org/wiki/Samuel_Brownback,http://youtube.com/SenatorSamBrownback,,,III,9/12/1956,,Wyoming,WY,,,Samuel D. Brownback,Brownback,Samuel D.,"Republican Party, Kansas, Senator",samuel d._brownback_red.png,samuel d._brownback_blue.png
Sen,Jim,,Bunning,,,R,KY,Junior Seat,0,M,26874,S8KY00118,300014,N00003437,,http://www.opencongress.org/wiki/Jim_Bunning,http://youtube.com/SenJimBunning,,,III,10/23/1931,,,,,,Jim  Bunning,Bunning,Jim ,"Republican Party, Kentucky, Senator",jim _bunning_red.png,jim _bunning_blue.png
Sen,Richard,M.,Burr,,,R,NC,Senior Seat,1,M,21787,S4NC00089,400054,N00002221,SenatorBurr,http://www.opencongress.org/wiki/Richard_Burr,http://youtube.com/SenatorRichardBurr,1.32654E+14,,III,11/30/1955,Sen.Burr@opencongress.org,,,,,Richard M. Burr,Burr,Richard M.,"Republican Party, North Carolina, Senator",richard m._burr_red.png,richard m._burr_blue.png
Rep,Dan,L.,Burton,,,R,IN,5,0,M,26855,H2IN06023,400055,N00000010,RepDanBurton,http://www.opencongress.org/wiki/Dan_Burton,http://youtube.com/CongressmanDanBurton,congressmandanburton,,,6/21/1938,,,,,,Dan L. Burton,Burton,Dan L.,"Republican Party, Indiana, US Representative",dan l._burton_red.png,dan l._burton_blue.png
Rep,Stephen,E.,Buyer,,Steve,R,IN,4,0,M,26854,H2IN05025,400056,N00003924,,http://www.opencongress.org/wiki/Stephen_Buyer,http://youtube.com/sbuyer,,,,11/26/1958,,,,,,Stephen E. Buyer,Buyer,Stephen E.,"Republican Party, Indiana, US Representative",stephen e._buyer_red.png,stephen e._buyer_blue.png
Sen,Robert,C.,Byrd,,,D,WV,Senior Seat,0,M,53359,S6WV00014,300016,N00002200,,http://www.opencongress.org/wiki/Robert_Byrd,,,,I,11/20/1917,,,,,,Robert C. Byrd,Byrd,Robert C.,"Democratic Party, West Virginia, Senator",robert c._byrd_red.png,robert c._byrd_blue.png
Rep,Robert,Alan,Brady,,,D,PA,1,1,M,2519,H8PA01153,400047,N00001619,RepBrady,http://www.opencongress.org/wiki/Robert_Brady,http://youtube.com/BradyPA01,1.18845E+11,,,4/7/1945,Rep.Brady@opencongress.org,,,,,Robert Alan Brady,Brady,Robert Alan,"Democratic Party, Pennsylvania, US Representative",robert alan_brady_red.png,robert alan_brady_blue.png
Rep,Mary,Whitaker,Bono Mack,,,R,CA,45,0,F,1434,H8CA44034,400039,N00007068,MaryBonoMack,http://www.opencongress.org/wiki/Mary_Bono_Mack,http://youtube.com/BonoMackCA45,mary.b.mack,,,10/24/1961,,,,,,Mary Whitaker Bono Mack,Bono Mack,Mary Whitaker,"Republican Party, California, US Representative",mary whitaker_bono mack_red.png,mary whitaker_bono mack_blue.png
Rep,Brian,N.,Baird,,,D,WA,3,0,M,837,H6WA03135,400011,N00007936,,http://www.opencongress.org/wiki/Brian_Baird,,,,,3/7/1956,,,,,,Brian N. Baird,Baird,Brian N.,"Democratic Party, Washington, US Representative",brian n._baird_red.png,brian n._baird_blue.png
Sen,Tammy,,Baldwin,,,D,WI,Junior Seat,1,F,3470,H8WI00018,400013,N00004367,SenatorBaldwin,http://www.opencongress.org/wiki/Tammy_Baldwin,http://youtube.com/witammybaldwin,7357041101,,I,2/11/1962,Sen.Baldwin@opencongress.org,,,,,Tammy  Baldwin,Baldwin,Tammy ,"Democratic Party, Wisconsin, Senator",tammy _baldwin_red.png,tammy _baldwin_blue.png
Rep,Shelley,,Berkley,,,D,NV,1,0,F,22744,H8NV01071,400024,N00009818,repberkley,http://www.opencongress.org/wiki/Shelley_Berkley,http://youtube.com/ShelleyBerkley,shelleyberkley,,,1/20/1951,,,,,,Shelley  Berkley,Berkley,Shelley ,"Democratic Party, Nevada, US Representative",shelley _berkley_red.png,shelley _berkley_blue.png
Rep,Judy,,Biggert,,,R,IL,13,0,F,6298,H8IL13069,400027,N00004762,JudyBiggert,http://www.opencongress.org/wiki/Judy_Biggert,http://youtube.com/JudyBiggert,JudyBiggert,,,8/15/1937,,,,,,Judy  Biggert,Biggert,Judy ,"Republican Party, Illinois, US Representative",judy _biggert_red.png,judy _biggert_blue.png
Sen,Evan,,Bayh,,,D,IN,Junior Seat,0,M,22418,S8IN00049,300006,N00003762,,http://www.opencongress.org/wiki/Evan_Bayh,http://youtube.com/SenEvanBayh,,,III,12/26/1955,,,,,,Evan  Bayh,Bayh,Evan ,"Democratic Party, Indiana, Senator",evan _bayh_red.png,evan _bayh_blue.png
Rep,Joe,,Baca,,,D,CA,43,0,M,8039,H6CA42099,400009,N00007089,RepJoeBaca,http://www.opencongress.org/wiki/Joe_Baca,http://youtube.com/RepJoeBaca,BacaCA43,,,1/23/1947,,,,,,Joe  Baca,Baca,Joe ,"Democratic Party, California, US Representative",joe _baca_red.png,joe _baca_blue.png
Rep,Henry,E.,Brown,Jr.,,R,SC,1,0,M,3993,H0SC01071,400049,N00002428,,http://www.opencongress.org/wiki/Henry_Brown,http://youtube.com/CongressmanBrown,,,,12/20/1935,,,,,,Henry E. Brown,Brown,Henry E.,"Republican Party, South Carolina, US Representative",henry e._brown_red.png,henry e._brown_blue.png
Sen,John,,Boozman,,,R,AR,Senior Seat,1,M,27958,H2AR03176,400040,N00013873,JohnBoozman,http://www.opencongress.org/wiki/John_Boozman,http://youtube.com/BoozmanPressOffice,7686715735,,III,12/10/1950,Sen.Boozman@opencongress.org,,,,,John  Boozman,Boozman,John ,"Republican Party, Arkansas, Senator",john _boozman_red.png,john _boozman_blue.png
Rep,James,Gresham,Barrett,,J. Gresham,R,SC,3,0,M,14577,H2SC03057,400016,N00013837,greshambarrett,http://www.opencongress.org/wiki/J._Gresham_Barrett,http://youtube.com/Repgreshambarrett,,,,2/14/1961,,,,,,James Gresham Barrett,Barrett,James Gresham,"Republican Party, South Carolina, US Representative",james gresham_barrett_red.png,james gresham_barrett_blue.png
Rep,Timothy,H.,Bishop,,,D,NY,1,0,M,44518,H2NY01067,400031,N00025413,TimBishopNY,http://www.opencongress.org/wiki/Timothy_Bishop,http://youtube.com/timbishop01,7940339401,,,6/1/1950,,,,,,Timothy H. Bishop,Bishop,Timothy H.,"Democratic Party, New York, US Representative",timothy h._bishop_red.png,timothy h._bishop_blue.png
Rep,Marsha,W.,Blackburn,,,R,TN,7,1,F,25186,H2TN06030,400032,N00003105,MarshaBlackburn,http://www.opencongress.org/wiki/Marsha_Blackburn,http://youtube.com/RepMarshaBlackburn,6470828395,,,6/6/1952,Rep.Blackburn@opencongress.org,,,,,Marsha W. Blackburn,Blackburn,Marsha W.,"Republican Party, Tennessee, US Representative",marsha w._blackburn_red.png,marsha w._blackburn_blue.png
Rep,Jo,,Bonner,,,R,AL,1,0,M,27522,H2AL01077,400038,N00025330,RepJoBonner,http://www.opencongress.org/wiki/Josiah_Bonner,http://youtube.com/JoBonner,49704847429,,,11/19/1959,,,,,,Jo  Bonner,Bonner,Jo ,"Republican Party, Alabama, US Representative",jo _bonner_red.png,jo _bonner_blue.png
Del,Madeleine,Z.,Bordallo,,,D,GU,0,1,F,1751,H2GU00033,400041,N00024866,,http://www.opencongress.org/wiki/Madeline_Bordallo,,1.6173E+14,,,5/31/1933,Rep.Bordallo@opencongress.org,,,,,Madeleine Z. Bordallo,Bordallo,Madeleine Z.,#N/A,madeleine z._bordallo_red.png,madeleine z._bordallo_blue.png
Rep,Virginia,,Brown-Waite,,Ginny,R,FL,5,0,F,8077,H2FL05127,400051,N00024777,,http://www.opencongress.org/wiki/Virginia_Brown-Waite,http://youtube.com/RepGinnyBrownWaite,,,,10/5/1943,,,,,,Virginia  Brown-Waite,Brown-Waite,Virginia ,"Republican Party, Florida, US Representative",virginia _brown-waite_red.png,virginia _brown-waite_blue.png
Rep,Michael,C.,Burgess,,,R,TX,26,1,M,50120,H2TX26093,400052,N00025219,MichaelCBurgess,http://www.opencongress.org/wiki/Michael_Burgess,http://youtube.com/michaelcburgessmd,6916472567,,,12/23/1950,Rep.Burgess@opencongress.org,,,,,Michael C. Burgess,Burgess,Michael C.,"Republican Party, Texas, US Representative",michael c._burgess_red.png,michael c._burgess_blue.png
Rep,Rob,,Bishop,,,R,UT,1,1,M,50544,H2UT01094,400029,N00025292,RepRobBishop,http://www.opencongress.org/wiki/Rob_Bishop,http://youtube.com/CongressmanBishop,RepRobBishop,,,7/13/1951,Rep.Robbishop@opencongress.org,,,,,Rob  Bishop,Bishop,Rob ,"Republican Party, Utah, US Representative",rob _bishop_red.png,rob _bishop_blue.png
Rep,George,Kenneth,Butterfield,Jr.,G.K.,D,NC,1,1,M,41077,H4NC01046,400616,N00027035,GKButterfield,http://www.opencongress.org/wiki/George_Butterfield,http://youtube.com/GKBNC01,2.74688E+14,,,4/27/1947,Rep.Butterfield@opencongress.org,,,,,George Kenneth Butterfield,Butterfield,George Kenneth,"Democratic Party, North Carolina, US Representative",george kenneth_butterfield_red.png,george kenneth_butterfield_blue.png
Rep,John,,Barrow,,,D,GA,12,0,M,31780,H4GA12010,400628,N00026080,RepJohnBarrow,http://www.opencongress.org/wiki/John_Barrow,http://youtube.com/RepJohnBarrow,2.85484E+11,,,10/31/1955,,,,,,John  Barrow,Barrow,John ,"Democratic Party, Georgia, US Representative",john _barrow_red.png,john _barrow_blue.png
Rep,Melissa,L.,Bean,,,D,IL,8,0,F,33448,H2IL08088,400631,N00024875,,http://www.opencongress.org/wiki/Melissa_Bean,,,,,1/22/1962,,,,,,Melissa L. Bean,Bean,Melissa L.,"Democratic Party, Illinois, US Representative",melissa l._bean_red.png,melissa l._bean_blue.png
